Classe,Sexo,Idade,survived,cabin
1,male,,Sim,D45
1,Feminino,24,Sim,C54
1,male,55,Não,B69
1,Feminino,52,Sim,B69
1,male,42,Não,B11
1,male,,Não,E46
1,male,55,Não,C39
1,Feminino,16,Sim,B18
1,Feminino,44,Sim,B18
1,Feminino,51,Sim,D11
1,male,42,Não,
1,Feminino,35,Sim,
1,male,35,Sim,
1,male,38,Sim,C93
1,male,,Não,
1,Feminino,35,Sim,C93
1,Feminino,38,Sim,B28
1,Feminino,50,Não,C49
1,male,49,Sim,B52 B54 B56
1,male,46,Não,
1,male,50,Não,E60
1,male,32.5,Não,C132
1,male,58,Não,B37
1,male,41,Não,D21
1,Feminino,,Sim,D21
1,male,42,Sim,D19
1,Feminino,45,Sim,D19
1,male,,Não,C124
1,Feminino,39,Sim,
1,Feminino,49,Sim,D17
1,Feminino,30,Sim,
1,male,35,Sim,B101
1,male,,Não,
1,male,42,Não,
1,Feminino,55,Sim,
1,Feminino,16,Sim,D28
1,Feminino,51,Sim,D28
1,male,29,Não,D6
1,Feminino,21,Sim,D9
1,male,30,Não,
1,Feminino,58,Sim,B80
1,Feminino,15,Sim,B5
1,male,30,Não,C106
1,Feminino,16,Sim,B79
1,male,,Sim,C47
1,male,19,Não,D30
1,Feminino,18,Sim,D30
1,Feminino,24,Sim,C90
1,male,46,Não,C6
1,male,54,Não,E46
1,male,36,Sim,E25
1,male,28,Não,
1,Feminino,,Sim,
1,male,65,Não,E38
1,male,44,Não,C78
1,Feminino,33,Sim,C78
1,Feminino,37,Sim,C78
1,male,30,Sim,C78
1,male,55,Não,C30
1,male,47,Não,
1,male,37,Não,C118
1,Feminino,31,Sim,D36
1,Feminino,23,Sim,D36
1,male,58,Não,D48
1,Feminino,19,Sim,D47
1,male,64,Não,
1,Feminino,39,Sim,C105
1,male,,Sim,
1,Feminino,22,Sim,B36
1,male,65,Não,B30
1,male,28.5,Não,D43
1,male,,Não,
1,male,45.5,Não,C124
1,male,23,Não,B24
1,male,29,Não,C2
1,Feminino,22,Sim,C2
1,male,18,Não,C65
1,Feminino,17,Sim,C65
1,Feminino,30,Sim,B73
1,male,52,Sim,C104
1,male,47,Não,C110
1,Feminino,56,Sim,C50
1,male,38,Não,
1,male,,Sim,
1,male,22,Não,
1,male,,Não,
1,Feminino,43,Sim,B3
1,male,31,Não,A24
1,male,45,Sim,
1,male,,Não,A32
1,Feminino,33,Sim,A11
1,male,46,Não,
1,male,36,Não,A10
1,Feminino,33,Sim,B77
1,male,55,Não,
1,Feminino,54,Sim,
1,male,33,Não,
1,male,13,Sim,B57 B59 B63 B66
1,Feminino,18,Sim,B57 B59 B63 B66
1,Feminino,21,Sim,B57 B59 B63 B66
1,male,61,Não,B57 B59 B63 B66
1,Feminino,48,Sim,B57 B59 B63 B66
1,male,,Sim,C106
1,Feminino,24,Sim,B35
1,male,,Sim,
1,Feminino,35,Sim,C28
1,Feminino,30,Sim,
1,male,34,Sim,
1,Feminino,40,Sim,C125
1,male,35,Sim,E24
1,male,50,Não,E44
1,Feminino,39,Sim,E44
1,male,56,Sim,A26
1,male,28,Sim,A6
1,male,56,Não,
1,male,56,Não,A7
1,male,24,Não,C31
1,male,,Não,A19
1,Feminino,18,Sim,C31
1,male,24,Sim,B45
1,Feminino,23,Sim,B45
1,male,6,Sim,E34
1,male,45,Sim,E34
1,Feminino,40,Sim,E34
1,male,57,Não,B78
1,Feminino,,Sim,B78
1,male,32,Sim,B50
1,male,62,Não,C87
1,male,54,Sim,C116
1,Feminino,43,Sim,C116
1,Feminino,52,Sim,D20
1,male,,Não,
1,Feminino,62,Sim,B28
1,male,67,Não,C55 C57
1,Feminino,63,Não,C55 C57
1,male,61,Não,D50
1,Feminino,48,Sim,D17
1,Feminino,18,Sim,E68
1,male,52,Não,E67
1,Feminino,39,Sim,E67
1,male,48,Sim,C126
1,Feminino,,Sim,C126
1,male,49,Não,C68
1,male,17,Sim,C70
1,Feminino,39,Sim,C68
1,Feminino,,Sim,
1,male,31,Sim,C53
1,male,40,Não,
1,male,61,Não,B19
1,male,47,Não,D46
1,Feminino,35,Sim,
1,male,64,Não,D37
1,Feminino,60,Sim,D37
1,male,60,Não,
1,male,54,Não,D26
1,male,21,Não,D26
1,Feminino,55,Sim,C32
1,Feminino,31,Sim,C7
1,male,57,Não,
1,Feminino,45,Sim,
1,male,50,Não,C80
1,male,27,Não,C82
1,Feminino,50,Sim,C80
1,Feminino,21,Sim,
1,male,51,Não,
1,male,21,Sim,
1,male,,Não,C128
1,Feminino,31,Sim,E39 E41
1,male,,Sim,C52
1,male,62,Não,
1,Feminino,36,Sim,C32
2,male,30,Não,
2,Feminino,28,Sim,
2,male,30,Não,
2,male,18,Não,
2,male,25,Não,
2,male,34,Não,
2,Feminino,36,Sim,
2,male,57,Não,
2,male,18,Não,
2,male,23,Não,
2,Feminino,36,Sim,D
2,male,28,Não,
2,male,51,Não,
2,male,32,Sim,
2,Feminino,19,Sim,
2,male,28,Não,
2,male,1,Sim,F4
2,Feminino,4,Sim,F4
2,Feminino,12,Sim,F4
2,Feminino,36,Sim,F4
2,male,34,Sim,D56
2,Feminino,19,Sim,
2,male,23,Não,
2,male,26,Não,
2,male,42,Não,
2,male,27,Não,
2,Feminino,24,Sim,F33
2,Feminino,15,Sim,
2,male,60,Não,
2,Feminino,40,Sim,
2,Feminino,20,Sim,
2,male,25,Não,
2,Feminino,36,Sim,
2,male,25,Não,
2,male,42,Não,
2,Feminino,42,Sim,
2,male,8,Sim,
2,male,26,Sim,
2,Feminino,22,Sim,
2,Feminino,35,Sim,
2,male,,Não,
2,male,19,Não,
2,Feminino,44,Não,
2,male,54,Não,
2,male,52,Não,
2,male,37,Não,
2,Feminino,29,Não,
2,Feminino,25,Sim,
2,Feminino,45,Sim,
2,male,29,Não,
2,Feminino,28,Sim,
2,male,29,Não,
2,male,28,Não,
2,male,24,Sim,
2,Feminino,8,Sim,
2,male,31,Não,
2,Feminino,31,Sim,
2,Feminino,22,Sim,F33
2,Feminino,30,Não,
2,Feminino,,Não,
2,male,21,Não,
2,male,,Não,
2,male,8,Sim,
2,male,18,Não,
2,Feminino,48,Sim,
2,Feminino,28,Sim,
2,male,32,Não,
2,male,17,Não,
2,male,29,Não,
2,Feminino,24,Sim,
2,male,25,Não,
2,male,18,Não,
2,Feminino,18,Sim,
2,Feminino,34,Sim,
2,male,54,Não,
2,male,8,Sim,
2,male,42,Não,
2,Feminino,34,Sim,
2,Feminino,27,Sim,
2,Feminino,30,Sim,
2,male,23,Não,
2,male,21,Não,
2,male,18,Não,
2,male,40,Não,
2,Feminino,29,Sim,
2,male,18,Não,
2,male,36,Não,
2,male,,Não,
2,Feminino,38,Não,
2,male,35,Não,
2,male,38,Não,
2,male,34,Não,
2,Feminino,34,Sim,
2,male,16,Não,
2,male,26,Não,
2,male,47,Não,
2,male,21,Não,
2,male,21,Não,
2,male,24,Não,
2,male,24,Não,
2,male,34,Não,
2,male,30,Não,
2,male,52,Não,
2,male,30,Não,
2,male,1,Sim,
2,Feminino,24,Sim,
2,male,44,Não,
2,Feminino,6,Sim,
2,male,28,Não,
2,male,62,Sim,
2,male,30,Não,
2,Feminino,7,Sim,
2,male,43,Não,
2,Feminino,45,Sim,
2,Feminino,24,Sim,
2,Feminino,24,Sim,
2,male,49,Não,
2,Feminino,48,Sim,
2,Feminino,55,Sim,
2,male,24,Não,
2,male,32,Não,
2,male,21,Não,
2,Feminino,18,Não,
2,Feminino,20,Sim,
2,male,23,Não,
2,male,36,Não,
2,Feminino,54,Sim,
2,male,50,Não,
2,male,44,Não,
2,Feminino,29,Sim,
2,male,21,Não,
2,male,42,Sim,
2,male,63,Não,
2,Feminino,60,Não,
2,male,33,Não,
2,Feminino,17,Sim,
2,male,42,Não,
2,Feminino,24,Sim,
2,male,47,Não,
2,male,24,Não,
2,male,22,Não,
2,male,32,Não,
2,Feminino,23,Sim,D
2,male,34,Não,
2,Feminino,24,Sim,
2,Feminino,22,Não,
2,Feminino,,Sim,E101
2,male,35,Não,
2,Feminino,45,Sim,
2,male,57,Não,
2,male,,Não,
2,male,31,Não,
2,Feminino,26,Não,
2,male,30,Não,
2,male,,Não,
2,Feminino,1,Sim,
2,Feminino,3,Sim,
2,male,25,Não,
2,Feminino,22,Sim,
2,Feminino,17,Sim,
2,Feminino,,Sim,
2,Feminino,34,Sim,F33
2,male,36,Não,D
2,male,24,Não,
2,male,61,Não,
2,male,50,Não,
2,Feminino,42,Sim,
2,Feminino,57,Não,E77
2,male,,Não,D
2,male,1,Sim,
2,male,31,Não,
2,Feminino,24,Sim,
2,male,,Não,
2,male,30,Não,
2,male,40,Não,
2,male,32,Não,
2,male,30,Não,
2,male,46,Não,
2,Feminino,13,Sim,
2,Feminino,41,Sim,
2,male,19,Sim,
2,male,39,Não,
2,male,48,Não,
2,male,70,Não,
2,male,27,Não,
2,male,54,Não,
2,male,39,Não,
2,male,16,Não,
2,male,62,Não,
2,male,32.5,Não,
2,Feminino,14,Sim,
2,male,2,Sim,F2
2,male,3,Sim,F2
2,male,36.5,Não,F2
2,male,26,Não,F2
2,male,19,Não,
2,male,28,Não,
2,male,20,Sim,D38
2,Feminino,29,Sim,F33
2,male,39,Não,
2,male,22,Sim,
2,male,,Sim,
2,male,23,Não,
2,male,29,Sim,
2,male,28,Não,
2,male,,Não,
2,Feminino,50,Sim,
2,male,19,Não,
2,male,,Não,
2,male,41,Não,
2,Feminino,21,Sim,
2,Feminino,19,Sim,
2,male,43,Não,
2,Feminino,32,Sim,
2,male,34,Não,
2,male,30,Sim,
2,male,27,Não,
2,Feminino,2,Sim,
2,Feminino,8,Sim,
2,Feminino,33,Sim,
2,male,36,Não,
2,male,34,Não,
2,Feminino,30,Sim,
2,Feminino,28,Sim,
2,male,23,Não,
2,male,1,Sim,
2,male,3,Sim,
2,Feminino,24,Sim,
2,Feminino,50,Sim,
2,male,19,Não,
2,Feminino,21,Sim,
2,male,26,Não,
2,male,25,Não,
2,male,27,Não,
2,Feminino,25,Sim,
2,Feminino,18,Sim,
2,Feminino,20,Sim,
2,Feminino,30,Sim,
2,male,59,Não,
2,Feminino,30,Sim,
2,male,35,Não,
2,Feminino,40,Sim,
2,male,25,Não,
2,male,41,Não,
2,male,25,Não,
2,male,18.5,Não,F
2,male,14,Não,
2,Feminino,50,Sim,
2,male,23,Não,
2,Feminino,28,Sim,
2,Feminino,27,Sim,E101
2,male,29,Não,
2,Feminino,27,Não,
2,male,40,Não,
2,Feminino,31,Sim,
2,male,30,Não,
2,male,23,Não,
2,Feminino,31,Sim,
2,male,,Não,
2,Feminino,12,Sim,
2,Feminino,40,Sim,
2,Feminino,32.5,Sim,E101
2,male,27,Não,
2,Feminino,29,Sim,
2,male,2,Sim,
2,Feminino,4,Sim,
2,Feminino,29,Sim,
2,Feminino,1,Sim,
2,Feminino,5,Sim,
2,male,36,Não,
2,Feminino,33,Sim,
2,male,66,Não,
2,male,,Não,
2,male,31,Sim,
2,male,,Sim,
2,Feminino,26,Sim,
2,Feminino,24,Não,
3,male,42,Não,
3,male,13,Não,
3,male,16,Não,
3,Feminino,35,Sim,
3,Feminino,16,Sim,
3,male,25,Sim,F G63
3,male,20,Sim,
3,Feminino,18,Sim,
3,male,30,Não,
3,male,26,Não,
3,Feminino,40,Não,
3,male,1,Sim,
3,Feminino,18,Sim,
3,male,26,Sim,
3,male,26,Não,
3,male,20,Não,
3,male,24,Não,
3,male,25,Não,
3,male,35,Não,
3,male,18,Não,
3,male,32,Não,
3,Feminino,19,Sim,
3,male,4,Não,
3,Feminino,6,Não,
3,Feminino,2,Não,
3,Feminino,17,Sim,
3,Feminino,38,Não,
3,Feminino,9,Não,
3,Feminino,11,Não,
3,male,39,Não,
3,male,27,Sim,
3,male,26,Não,
3,Feminino,39,Não,
3,male,20,Não,
3,male,26,Não,
3,male,25,Não,
3,Feminino,18,Não,
3,male,24,Não,
3,male,35,Não,
3,male,5,Não,
3,male,9,Não,
3,male,3,Sim,
3,male,13,Não,
3,Feminino,5,Sim,
3,male,40,Não,
3,male,23,Sim,
3,Feminino,38,Sim,
3,Feminino,45,Sim,
3,male,21,Não,
3,male,23,Não,
3,Feminino,17,Não,
3,male,30,Não,
3,male,23,Não,
3,Feminino,13,Sim,
3,male,20,Não,
3,male,32,Não,
3,Feminino,33,Sim,
3,Feminino,0.75,Sim,
3,Feminino,0.75,Sim,
3,Feminino,5,Sim,
3,Feminino,24,Sim,
3,Feminino,18,Sim,
3,male,40,Não,
3,male,26,Não,
3,male,20,Sim,
3,Feminino,18,Não,
3,Feminino,45,Não,
3,Feminino,27,Não,
3,male,22,Não,
3,male,19,Não,
3,male,26,Não,
3,male,22,Não,
3,male,,Não,
3,male,20,Não,
3,male,32,Sim,
3,male,21,Não,
3,male,18,Não,
3,male,26,Não,
3,male,6,Não,
3,Feminino,9,Não,
3,male,,Não,
3,Feminino,,Não,
3,Feminino,,Não,
3,male,40,Não,
3,Feminino,32,Não,
3,male,21,Não,
3,Feminino,22,Sim,
3,Feminino,20,Não,
3,male,29,Não,
3,male,22,Não,
3,male,22,Não,
3,male,35,Não,
3,Feminino,18.5,Não,
3,male,21,Sim,
3,male,19,Não,
3,Feminino,18,Não,
3,Feminino,21,Não,
3,Feminino,30,Não,
3,male,18,Não,
3,male,38,Não,
3,male,17,Não,
3,male,17,Não,
3,Feminino,21,Não,
3,male,21,Não,
3,male,21,Não,
3,male,,Não,
3,Feminino,,Não,
3,male,28,Não,
3,male,24,Não,
3,Feminino,16,Sim,
3,Feminino,37,Não,
3,male,28,Não,
3,male,24,Não,
3,male,21,Não,
3,male,32,Sim,
3,male,29,Não,
3,male,26,Não,
3,male,18,Não,
3,male,20,Não,
3,male,18,Sim,
3,male,24,Não,
3,male,36,Não,
3,male,24,Não,
3,male,31,Não,
3,male,31,Não,
3,Feminino,22,Sim,
3,Feminino,30,Não,
3,male,70.5,Não,
3,male,43,Não,
3,male,35,Não,
3,male,27,Não,
3,male,19,Não,
3,male,30,Não,
3,male,9,Sim,
3,male,3,Sim,
3,Feminino,36,Sim,
3,male,59,Não,
3,male,19,Não,
3,Feminino,17,Sim,
3,male,44,Não,
3,male,17,Não,
3,male,22.5,Não,
3,male,45,Sim,
3,Feminino,22,Não,
3,male,19,Não,
3,Feminino,30,Sim,
3,male,29,Sim,
3,male,0,Não,
3,male,34,Não,
3,Feminino,28,Não,
3,male,27,Não,
3,male,25,Não,
3,male,24,Não,
3,male,22,Não,
3,male,21,Não,
3,male,17,Não,
3,male,,Não,
3,Feminino,,Sim,
3,male,36.5,Sim,
3,Feminino,36,Sim,
3,male,30,Sim,
3,male,16,Não,
3,male,1,Sim,
3,Feminino,0,Sim,
3,male,26,Não,
3,Feminino,33,Sim,
3,male,25,Não,
3,male,,Não,
3,male,,Não,
3,male,22,Não,
3,male,36,Não,
3,Feminino,19,Sim,
3,male,17,Não,
3,male,42,Não,
3,male,43,Não,
3,male,,Não,
3,male,32,Não,
3,male,19,Sim,
3,Feminino,30,Sim,
3,Feminino,24,Não,
3,Feminino,23,Sim,
3,male,33,Não,
3,male,65,Não,
3,male,24,Sim,
3,male,23,Não,
3,Feminino,22,Sim,
3,male,18,Não,
3,male,16,Não,
3,male,45,Não,
3,male,,Não,
3,male,39,Não,
3,male,17,Não,
3,male,15,Não,
3,male,47,Não,
3,Feminino,5,Sim,
3,male,,Não,
3,male,40.5,Não,
3,male,40.5,Não,
3,male,,Sim,
3,male,18,Não,
3,Feminino,,Não,
3,male,,Não,
3,male,,Não,
3,male,26,Não,
3,male,,Não,
3,male,,Sim,
3,Feminino,21,Não,
3,Feminino,9,Não,
3,male,,Não,
3,male,18,Não,
3,male,16,Não,
3,Feminino,48,Não,
3,male,,Não,
3,male,,Não,
3,male,25,Não,
3,male,,Não,
3,male,,Não,
3,male,22,Não,
3,Feminino,16,Sim,
3,Feminino,,Sim,
3,male,9,Sim,
3,male,33,Não,
3,male,41,Não,
3,Feminino,31,Sim,
3,male,38,Não,
3,male,9,Não,
3,male,1,Não,
3,male,11,Não,
3,Feminino,10,Não,
3,Feminino,16,Não,
3,male,14,Não,
3,male,40,Não,
3,Feminino,43,Não,
3,male,51,Não,
3,male,32,Não,
3,male,,Não,
3,male,20,Não,
3,male,37,Não,
3,male,28,Não,
3,male,19,Não,
3,Feminino,24,Não,
3,Feminino,17,Não,
3,male,,Não,
3,male,,Não,
3,male,28,Não,
3,Feminino,24,Sim,
3,male,20,Não,
3,male,23.5,Não,
3,male,41,Não,
3,male,26,Não,
3,male,21,Não,
3,Feminino,45,Sim,
3,Feminino,,Não,
3,male,25,Não,
3,male,,Não,
3,male,11,Não,
3,Feminino,,Sim,
3,male,27,Sim,
3,male,,Sim,
3,Feminino,18,Não,
3,Feminino,26,Sim,
3,Feminino,23,Não,
3,Feminino,22,Sim,
3,male,28,Não,
3,Feminino,28,Não,
3,Feminino,,Não,
3,Feminino,2,Sim,
3,Feminino,22,Sim,
3,male,43,Não,
3,male,28,Não,
3,Feminino,27,Sim,
3,male,,Não,
3,Feminino,,Sim,
3,male,42,Não,F G63
3,male,,Sim,
3,male,30,Não,
3,male,,Não,
3,Feminino,27,Não,
3,Feminino,25,Não,
3,male,,Não,
3,male,29,Sim,
3,male,21,Sim,
3,male,,Não,
3,male,20,Não,
3,male,48,Não,
3,male,17,Não,
3,Feminino,,Sim,
3,male,,Sim,
3,male,34,Não,
3,male,26,Sim,
3,male,22,Não,
3,male,33,Não,
3,male,31,Não,
3,male,29,Não,
3,male,4,Sim,
3,Feminino,1,Sim,
3,male,49,Não,
3,male,33,Não,
3,male,19,Não,
3,Feminino,27,Sim,
3,male,,Não,
3,Feminino,,Não,
3,male,,Não,
3,Feminino,,Não,
3,male,23,Não,
3,male,32,Sim,
3,male,27,Não,
3,Feminino,20,Não,
3,Feminino,21,Não,
3,male,32,Sim,
3,male,17,Não,
3,male,21,Não,
3,male,30,Não,
3,male,21,Sim,
3,male,33,Não,
3,male,22,Não,
3,Feminino,4,Sim,
3,male,39,Sim,
3,male,,Não,
3,male,18.5,Não,
3,male,,Não,
3,male,,Não,
3,Feminino,,Sim,
3,Feminino,,Sim,
3,male,34.5,Não,
3,male,44,Não,
3,male,,Sim,
3,male,,Não,
3,Feminino,,Não,
3,male,,Não,
3,male,,Não,
3,male,,Não,
3,Feminino,22,Não,
3,male,26,Não,
3,Feminino,4,Sim,
3,male,29,Sim,
3,Feminino,26,Sim,
3,Feminino,1,Não,
3,male,18,Não,
3,Feminino,36,Não,
3,male,,Não,
3,male,25,Sim,F E57
3,male,,Não,
3,Feminino,37,Não,
3,male,,Não,
3,male,,Sim,
3,male,,Não,
3,Feminino,22,Sim,
3,male,,Não,
3,male,26,Sim,
3,male,29,Não,
3,male,29,Não,
3,male,22,Não,
3,male,22,Sim,
3,male,,Não,
3,Feminino,,Não,
3,Feminino,,Não,
3,Feminino,,Não,
3,Feminino,,Não,
3,male,32,Não,
3,male,34.5,Não,
3,Feminino,,Não,
3,male,,Não,
3,male,36,Não,
3,male,39,Não,
3,male,24,Não,
3,Feminino,25,Não,
3,Feminino,45,Não,
3,male,36,Não,
3,Feminino,30,Não,
3,male,20,Sim,
3,male,,Não,
3,male,28,Não,
3,male,,Não,
3,male,30,Não,
3,Feminino,26,Não,
3,male,,Não,
3,male,20.5,Não,
3,male,27,Sim,
3,male,51,Não,
3,Feminino,23,Sim,
3,male,32,Sim,
3,male,,Não,
3,male,,Não,
3,Feminino,,Sim,
3,male,24,Sim,
3,male,22,Não,
3,Feminino,,Não,
3,male,,Não,
3,male,,Não,
3,male,29,Não,
3,male,,Sim,
3,Feminino,30.5,Não,
3,Feminino,,Sim,
3,male,,Não,F E46
3,male,35,Não,
3,male,33,Não,
3,Feminino,,Sim,
3,male,,Não,
3,Feminino,,Sim,
3,male,,Sim,
3,Feminino,,Sim,
3,Feminino,,Sim,
3,male,,Sim,
3,Feminino,,Sim,
3,male,,Não,
3,Feminino,,Sim,
3,Feminino,15,Sim,
3,Feminino,35,Não,
3,male,,Não,
3,male,24,Não,
3,Feminino,19,Não,
3,Feminino,,Não,
3,Feminino,,Não,
3,Feminino,,Não,
3,male,55.5,Não,
3,male,,Não,
3,male,21,Sim,
3,male,,Não,
3,male,24,Não,
3,male,21,Não,
3,male,28,Não,
3,male,,Não,
3,Feminino,,Sim,
3,male,25,Não,F G73
3,male,6,Sim,E121
3,Feminino,27,Sim,E121
3,male,,Não,
3,Feminino,,Sim,
3,male,,Não,
3,male,,Não,
3,male,34,Não,
3,male,,Não,
3,male,,Sim,
3,male,,Sim,
3,male,,Sim,
3,Feminino,,Sim,
3,Feminino,,Sim,
3,male,,Não,
3,Feminino,,Sim,
3,Feminino,24,Sim,
3,male,,Não,
3,Feminino,,Sim,
3,Feminino,,Sim,
3,Feminino,,Sim,
3,male,18,Não,
3,male,22,Não,
3,Feminino,15,Sim,
3,Feminino,1,Sim,
3,male,20,Sim,
3,Feminino,19,Sim,
3,male,33,Não,
3,male,,Não,
3,male,,Não,
3,Feminino,,Não,
3,male,,Não,
3,male,12,Sim,
3,Feminino,14,Sim,
3,Feminino,29,Não,
3,male,28,Não,
3,Feminino,18,Sim,
3,Feminino,26,Sim,
3,male,21,Não,
3,male,41,Não,
3,male,39,Sim,
3,male,21,Não,
3,male,28.5,Não,
3,Feminino,22,Sim,
3,male,61,Não,
3,male,,Não,
3,male,,Não,
3,Feminino,,Sim,
3,male,,Não,
3,male,,Não,
3,male,,Não,
3,male,23,Não,
3,Feminino,,Não,
3,Feminino,,Sim,
3,Feminino,,Sim,
3,Feminino,22,Sim,
3,male,,Sim,
3,Feminino,,Sim,
3,male,9,Sim,
3,male,28,Não,
3,male,42,Não,
3,male,,Não,
3,Feminino,31,Não,
3,male,28,Não,
3,male,32,Sim,
3,male,20,Não,
3,Feminino,23,Não,
3,Feminino,20,Não,
3,male,20,Não,
3,male,16,Não,
3,Feminino,31,Sim,
3,Feminino,,Não,
3,male,2,Não,
3,male,6,Não,
3,Feminino,3,Não,
3,Feminino,8,Não,
3,Feminino,29,Não,
3,male,1,Não,
3,male,7,Não,
3,male,2,Não,
3,male,16,Não,
3,male,14,Não,
3,Feminino,41,Não,
3,male,21,Não,
3,male,19,Não,
3,male,,Não,
3,male,32,Não,
3,male,0.75,Não,
3,Feminino,3,Não,
3,Feminino,26,Não,
3,male,,Não,
3,male,,Não,
3,male,,Não,
3,male,21,Não,
3,male,25,Não,
3,male,22,Não,
3,male,25,Sim,
3,male,,Sim,
3,Feminino,,Sim,F E69
3,Feminino,,Sim,
3,Feminino,,Não,
3,male,24,Não,
3,Feminino,28,Não,
3,male,19,Não,
3,male,,Não,
3,male,25,Não,
3,Feminino,18,Não,
3,male,32,Sim,E10
3,male,,Não,
3,male,17,Não,
3,male,24,Não,
3,male,,Não,
3,Feminino,,Não,
3,male,,Não,
3,male,,Não,
3,male,38,Não,
3,male,21,Não,
3,male,10,Não,
3,male,4,Não,
3,male,7,Não,
3,male,2,Não,
3,male,8,Não,
3,Feminino,39,Não,
3,Feminino,22,Não,
3,male,35,Não,
3,Feminino,,Sim,
3,male,,Não,
3,Feminino,,Não,
3,male,50,Não,
3,Feminino,47,Não,
3,male,,Não,
3,male,,Não,
3,Feminino,2,Não,
3,male,18,Não,
3,Feminino,41,Não,
3,Feminino,,Sim,
3,male,50,Não,
